distMedia,altezza,distDxMedia,distSxMedia,Sesso
16.25,1.62,0.26,0.27,1.00
17.26,1.53,0.21,0.21,1.00
16.58,1.68,0.25,0.23,0.00
16.00,1.56,0.26,0.27,1.00
20.79,1.66,0.26,0.28,0.00
12.04,1.59,0.13,0.14,1.00
20.21,1.77,0.24,0.25,0.00
18.61,1.79,0.18,0.18,0.00
19.05,1.62,0.20,0.22,0.00
14.18,1.55,0.17,0.16,1.00
14.10,1.65,0.23,0.23,0.00
18.60,1.62,0.21,0.25,1.00
17.73,1.73,0.35,0.33,0.00
13.14,1.61,0.19,0.21,1.00
13.19,1.56,0.22,0.20,1.00
16.99,1.65,0.26,0.27,0.00
20.76,1.72,0.29,0.30,0.00
16.91,1.68,0.24,0.22,0.00
17.57,1.55,0.29,0.32,0.00
18.11,1.70,0.28,0.28,0.00
15.38,1.75,0.26,0.25,0.00
15.66,1.57,0.22,0.22,1.00
14.47,1.75,0.23,0.23,0.00
9.90,1.55,0.08,0.09,1.00
15.97,1.55,0.24,0.26,1.00
16.79,1.52,0.19,0.19,1.00
17.39,1.69,0.34,0.37,0.00
18.61,1.76,0.17,0.18,1.00
13.85,1.41,0.14,0.14,1.00
20.57,1.53,0.32,0.32,1.00
